"","Pubchem.Compound.ID","entrezID"
"1054",2094,7498
"1092",2141,5167
"1236",2187,1588
"1630",2578,2936
"1655",2662,5743
"1656",2662,5170
"1657",2662,760
"1658",2662,761
"1659",2662,1009
"1923",2907,8856
"2389",3385,7298
"2619",3657,6240
"2662",3690,8856
"2927",3902,1588
"2932",3950,81551
"3340",4211,2230
"3341",4211,1584
"3342",4211,2099
"3343",4211,5241
"3344",4211,367
"3345",4212,7153
"4109",5035,2099
"4110",5035,2100
"4111",5035,5272
"4112",5035,7031
"4244",5291,613
"4245",5291,3815
"4246",5291,5979
"4247",5291,4914
"4248",5291,1436
"4249",5291,5156
"4250",5291,780
"4251",5291,25
"4252",5291,5159
"4253",5311,55869
"4254",5311,3065
"4255",5311,3066
"4256",5311,8841
"4257",5311,10013
"4405",5426,51185
"4406",5426,7124
"4407",5426,4790
"4408",5426,2263
"4409",5426,5743
"4410",5426,5004
"4411",5426,5005
"6161",11683,5241
"6162",11683,2908
"7347",36314,81027
"7348",36314,596
"7349",36314,4134
"7350",36314,4133
"7351",36314,4137
"7352",36314,8856
"7778",57469,51284
"7779",57469,51311
"7805",60198,1588
"8248",68740,2224
"8249",68740,9453
"8390",71384,7153
"8391",71384,7155
"8823",104842,7150
"8997",123631,1956
"9082",126941,1719
"9083",126941,7298
"9084",126941,471
"9148",132971,1586
"9236",148121,1719
"9237",148121,7298
"9238",148124,81027
"9239",148124,596
"9240",148124,4133
"9241",148124,4134
"9242",148124,4137
"9243",148124,8856
"9664",208908,2064
"9665",208908,1956
"9687",216239,2324
"9688",216239,5894
"9689",216239,3791
"9690",216239,673
"9691",216239,2322
"9692",216239,5159
"9693",216239,3815
"9694",216239,2260
"9695",216239,5979
"9696",216239,2321
"9698",216326,51185
"9699",216326,8600
"9700",216326,1003
"9701",216326,5743
"9843",387447,5693
"9844",387447,5689
"11084",446556,7298
"11085",446556,471
"11086",446556,1719
"11087",446556,2618
"11823",452548,7153
"12134",644241,25
"12135",644241,3815
"12311",667490,3251
"12312",667490,5471
"12313",667490,3614
"12314",667490,3615
"12706",3062316,25
"12707",3062316,6714
"12708",3062316,1969
"12709",3062316,3932
"12710",3062316,7525
"12711",3062316,3815
"12712",3062316,5159
"12713",3062316,6777
"12714",3062316,27
"12715",3062316,2534
"12716",3062316,695
"12717",3062316,8013
"12718",3062316,613
"12719",3062316,1445
"12720",3062316,2044
"12721",3062316,2050
"12722",3062316,2268
"12723",3062316,2444
"12724",3062316,3312
"12725",3062316,4067
"12727",3062316,1432
"12728",3062316,5471
"12734",3081361,7422
"12735",3081361,1956
"12736",3081361,5753
"12737",3081361,7010
"12738",3081361,5979
"14035",5329102,5159
"14036",5329102,2321
"14037",5329102,3815
"14038",5329102,3791
"14039",5329102,2324
"14040",5329102,2322
"14041",5329102,1436
"14042",5329102,5156
"14103",5360373,3978
"14104",5360373,3980
"14509",6445540,10381
"14517",6450551,2324
"14518",6450551,2321
"14519",6450551,3791
"15026",9854073,7277
"15027",9854073,81027
"15533",11556711,5693
"15534",11556711,5696
"15535",11556711,5689
"15536",11556711,5698
"15537",11556711,5690
"15538",11556711,5699
"15563",11626560,238
"15564",11626560,4233
"16661",24776445,6608
"16823",24978538,596
"16824",24978538,599
"16825",24978538,572
"16892",25126798,3716
"16893",25126798,3717
"16982",42611257,673
